t; x; y; theta
68882537.272000; -0.40; 0.00; -30.11
68899741.052000; -0.40; 0.00; -30.11
68914635.395000; -0.40; 0.00; -30.11
68930857.553000; -0.40; 0.00; -30.11
68946582.076000; -0.40; 0.00; -30.11
68962763.466000; -0.40; 0.00; -30.11
68980870.481000; -0.40; 0.00; -30.11
68995936.035000; -0.40; 0.00; -30.11
69013149.540000; -0.40; 0.00; -30.11
69028238.063000; -0.40; 0.00; -30.11
69048702.370000; -0.40; 0.00; -30.11
69067256.462000; -0.40; 0.00; -30.11
69080505.424000; -0.40; 0.00; -30.11
69093365.009000; -0.40; 0.00; -30.11
69108903.915000; -0.40; 0.00; -30.11
69123065.844000; -0.40; 0.00; -30.11
69142200.877000; -0.40; 0.00; -30.11
69154479.996000; -0.40; 0.00; -30.11
69170842.770000; -0.40; 0.00; -30.11
69186697.403000; -0.40; 0.00; -30.11
69204295.262000; -0.40; 0.00; -30.11
69220575.084000; -0.40; 0.00; -30.11
69234756.857000; -0.40; 0.00; -30.11
69250588.297000; -0.40; 0.00; -30.11
69267737.979000; -0.40; 0.00; -30.11
69284025.201000; -0.40; 0.00; -30.11
69298691.995000; -0.40; 0.00; -30.11
69314801.622000; -0.40; 0.00; -30.11
69331075.168000; -0.40; 0.00; -30.11
69347921.521000; -0.40; 0.00; -30.11
69362620.610000; -0.40; 0.00; -30.11
69378591.521000; -0.40; 0.00; -30.11
69397192.214000; -0.40; 0.00; -30.11
69413311.045000; -0.40; 0.00; -30.11
69426491.635000; -0.40; 0.00; -30.11
69444934.150000; -0.40; 0.00; -30.11
69459080.750000; -0.40; 0.00; -30.11
69476193.275000; -0.40; 0.00; -30.11
69491528.212000; -0.40; 0.00; -30.11
69512310.178000; -0.40; 0.00; -30.11
69522537.732000; -0.40; 0.00; -30.11
69539893.042000; -0.40; 0.00; -30.11
69555231.318000; -0.40; 0.00; -30.11
69571194.424000; -0.40; 0.00; -30.11
69594396.782000; -0.40; 0.00; -30.11
69603582.637000; -0.40; 0.00; -30.11
69619245.589000; -0.40; 0.00; -30.11
69635899.241000; -0.40; 0.00; -30.11
69651914.004000; -0.40; 0.00; -30.11
69666998.513000; -0.40; 0.00; -30.11
69682812.145000; -0.40; 0.00; -30.11
69698925.135000; -0.40; 0.00; -30.11
69715107.046000; -0.40; 0.00; -30.11
69731765.007000; -0.40; 0.00; -30.11
69749555.251000; -0.40; 0.00; -30.11
69763599.045000; -0.40; 0.00; -30.11
69779217.162000; -0.40; 0.00; -30.11
69794636.858000; -0.40; 0.00; -30.11
69811836.268000; -0.40; 0.00; -30.11
69826688.809000; -0.40; 0.00; -30.11
69844171.395000; -0.40; 0.00; -30.11
69860362.280000; -0.40; 0.00; -30.11
69877402.093000; -0.40; 0.00; -30.11
69892608.349000; -0.40; 0.00; -30.11
69908721.109000; -0.40; 0.00; -30.11
69925263.821000; -0.40; 0.00; -30.11
69940479.644000; -0.40; 0.00; -30.11
69954966.389000; -0.40; 0.00; -30.11
69970697.294000; -0.40; 0.00; -30.11
69987077.375000; -0.40; 0.00; -30.11
70004021.129000; -0.40; 0.00; -30.11
70020946.036000; -0.40; 0.00; -30.11
70035153.460000; -0.40; 0.00; -30.11
70050486.050000; -0.40; 0.00; -30.11
70067109.329000; -0.40; 0.00; -30.11
70082769.264000; -0.40; 0.00; -30.11
70100723.819000; -0.40; 0.00; -30.11
70115110.161000; -0.40; 0.00; -30.11
70132341.627000; -0.40; 0.00; -30.11
70148671.252000; -0.40; 0.00; -30.11
70164314.535000; -0.40; 0.00; -30.11
70178944.198000; -0.40; 0.00; -30.11
70195028.690000; -0.40; 0.00; -30.11
70210712.844000; -0.40; 0.00; -30.11
70227390.538000; -0.40; 0.00; -30.11
70242744.499000; -0.40; 0.00; -30.11
70261299.247000; -0.40; 0.00; -30.11
70277641.485000; -0.40; 0.00; -30.11
70295811.341000; -0.40; 0.00; -30.11
70316943.627000; -0.40; 0.00; -30.11
70328587.688000; -0.40; 0.00; -30.11
70339390.228000; -0.40; 0.00; -30.11
70355250.659000; -0.40; 0.00; -30.11
70370583.690000; -0.40; 0.00; -30.11
70387614.607000; -0.40; 0.00; -30.11
70402943.817000; -0.40; 0.00; -30.11
70420470.351000; -0.40; 0.00; -30.11
70435991.082000; -0.40; 0.00; -30.11
70453622.618000; -0.40; 0.00; -30.11
70467830.233000; -0.40; 0.00; -30.11
70482798.610000; -0.40; 0.00; -30.11
70499902.541000; -0.40; 0.00; -30.11
70514479.190000; -0.40; 0.00; -30.11
70530485.698000; -0.40; 0.00; -30.11
70546712.447000; -0.40; 0.00; -30.11
70562623.460000; -0.40; 0.00; -30.11
70579628.267000; -0.40; 0.00; -30.11
70594517.916000; -0.40; 0.00; -30.11
70610557.074000; -0.40; 0.00; -30.11
70628876.636000; -0.40; 0.00; -30.11
70645750.512000; -0.40; 0.00; -30.11
70659889.490000; -0.40; 0.00; -30.11
70676398.065000; -0.40; 0.00; -30.11
70691442.086000; -0.40; 0.00; -30.11
70706693.067000; -0.40; 0.00; -30.11
70722806.856000; -0.40; 0.00; -30.11
70738768.372000; -0.40; 0.00; -30.11
70758518.547000; -0.40; 0.00; -30.11
70771249.310000; -0.40; 0.00; -30.11
70788307.138000; -0.40; 0.00; -30.11
70803588.871000; -0.40; 0.00; -30.11
70820336.213000; -0.40; 0.00; -30.11
70835230.220000; -0.40; 0.00; -30.11
70855457.358000; -0.40; 0.00; -30.11
70867597.597000; -0.40; 0.00; -30.11
70884357.678000; -0.40; 0.00; -30.11
70898487.383000; -0.40; 0.00; -30.11
70914459.368000; -0.40; 0.00; -30.11
70931011.597000; -0.40; 0.00; -30.11
70946828.009000; -0.40; 0.00; -30.11
70962559.350000; -0.40; 0.00; -30.11
70978583.135000; -0.40; 0.00; -30.11
70994469.171000; -0.40; 0.00; -30.11
71013187.601000; -0.40; 0.00; -30.11
71027068.563000; -0.40; 0.00; -30.11
71044166.072000; -0.40; 0.00; -30.11
71059842.591000; -0.40; 0.00; -30.11
71077949.829000; -0.40; 0.00; -30.11
71090589.329000; -0.40; 0.00; -30.11
71106865.627000; -0.40; 0.00; -30.11
71123790.531000; -0.40; 0.00; -30.11
71140548.691000; -0.40; 0.00; -30.11
71155971.367000; -0.40; 0.00; -30.11
71170626.362000; -0.40; 0.00; -30.11
71188430.952000; -0.40; 0.00; -30.11
71202754.680000; -0.40; 0.00; -30.11
71218609.731000; -0.40; 0.00; -30.11
71234669.302000; -0.40; 0.00; -30.11
71250661.485000; -0.40; 0.00; -30.11
71275487.222000; -0.40; 0.00; -30.11
71294505.299000; -0.40; 0.00; -30.11
71304885.321000; -0.40; 0.00; -30.11
71316819.185000; -0.40; 0.00; -30.11
71331620.107000; -0.40; 0.00; -30.11
71347089.314000; -0.40; 0.00; -30.11
71362655.701000; -0.40; 0.00; -30.11
71378608.834000; -0.40; 0.00; -30.11
71395144.898000; -0.40; 0.00; -30.11
71412946.642000; -0.40; 0.00; -30.11
71427748.886000; -0.40; 0.00; -30.11
71445067.830000; -0.40; 0.00; -30.11
71460558.079000; -0.40; 0.00; -30.11
71474777.725000; -0.40; 0.00; -30.11
71492989.724000; -0.40; 0.00; -30.11
71506961.564000; -0.40; 0.00; -30.11
71522649.822000; -0.40; 0.00; -30.11
71539765.341000; -0.40; 0.00; -30.11
71554632.684000; -0.40; 0.00; -30.11
71570884.317000; -0.40; 0.00; -30.11
71595235.448000; -0.40; 0.00; -30.11
71603287.989000; -0.40; 0.00; -30.11
71627260.934000; -0.40; 0.00; -30.11
71635080.507000; -0.40; 0.00; -30.11
71652529.214000; -0.40; 0.00; -30.11
71672220.347000; -0.40; 0.00; -30.11
71686044.518000; -0.40; 0.00; -30.11
71698496.028000; -0.40; 0.00; -30.11
71714675.486000; -0.40; 0.00; -30.11
71730648.122000; -0.40; 0.00; -30.11
71746732.597000; -0.40; 0.00; -30.11
71765917.709000; -0.40; 0.00; -30.11
71778500.713000; -0.40; 0.00; -30.11
71794558.373000; -0.40; 0.00; -30.11
71810720.110000; -0.40; 0.00; -30.11
71828249.980000; -0.40; 0.00; -30.11
71843327.757000; -0.40; 0.00; -30.11
71859429.185000; -0.40; 0.00; -30.11
71874837.863000; -0.40; 0.00; -30.11
71892973.965000; -0.40; 0.00; -30.11
71908280.263000; -0.40; 0.00; -30.11
71922899.188000; -0.40; 0.00; -30.11
71940689.189000; -0.40; 0.00; -30.11
